Field1,Field2,Field3
1,AR-5381,Adjustable Race  
3,BE-2349,BB Ball Bearing  
850,SH-M897-L,"Men's Sports Shorts, L"
316,BL-2036,Blade  
317,CA-5965,LL Crankarm  
318,CA-6738,ML Crankarm  
319,CA-7457,HL Crankarm  
320,CB-2903,Chainring Bolts  
321,CN-6137,Chainring Nut  
322,CR-7833,Chainring  
323,CR-9981,Crown Race  
324,CS-2812,Chain Stays  
325,DC-8732,Decal 1  
326,DC-9824,Decal 2  
327,DT-2377,Down Tube  
328,EC-M092,Mountain End Caps  
329,EC-R098,Road End Caps  
330,EC-T209,Touring End Caps  
331,FE-3760,Fork End  
332,FH-2981,Freewheel  
